!  E0     Theta    Q^2      Sig        dSig   TPE-Blun TPE-Fesh idat Norm
  301.40  27.965  0.0204 0.1395E+05 0.1163E+03  1.0036  1.0045  21. 0.015
  321.30  27.965  0.0232 0.1210E+05 0.9482E+02  1.0035  1.0045  21. 0.015
 9750.00  10.000  2.4950 0.7700E+01 0.1410E+00  0.9978  1.0018  20. 0.041
12571.00  10.000  3.9890 0.1117E+01 0.2200E-01  0.9989  1.0018  20. 0.041
15736.00  10.000  5.9960 0.1795E+00 0.3900E-02  1.0008  1.0018  20. 0.041
18482.00  10.000  7.9880 0.4480E-01 0.1260E-02  1.0028  1.0018  20. 0.041
21005.00  10.000 10.0040 0.1450E-01 0.5600E-03  1.0047  1.0018  20. 0.041
 4500.00   4.000  0.0980 0.1106E+06 0.3094E+04  1.0002  1.0008  19. 0.024
 7001.00   4.000  0.2350 0.3004E+05 0.8426E+03  0.9998  1.0008  19. 0.024
 9993.00   4.000  0.4740 0.7593E+04 0.2126E+03  0.9995  1.0008  19. 0.024
13000.00   4.000  0.7970 0.2196E+04 0.6148E+02  0.9992  1.0008  19. 0.024
16000.00   4.000  1.1980 0.7063E+03 0.1979E+02  0.9990  1.0008  19. 0.024
18010.00   4.000  1.5100 0.3433E+03 0.9589E+01  0.9990  1.0008  19. 0.024
20005.00   4.000  1.8530 0.1756E+03 0.4937E+01  0.9990  1.0008  19. 0.024
 3820.00  47.500  4.0800 0.1750E-01 0.1050E-02  0.9893  1.0066  18. 0.080
 3870.00  47.300  4.1600 0.1819E-01 0.1091E-02  0.9894  1.0066  18. 0.080
 3110.00  76.500  4.2000 0.4483E-02 0.2690E-03  0.9768  1.0088  18. 0.080
 4340.00  47.600  4.8800 0.7552E-02 0.4531E-03  0.9907  1.0066  18. 0.080
 4960.00  47.500  5.8900 0.3276E-02 0.1966E-03  0.9926  1.0066  18. 0.080
 5540.00  47.500  6.8500 0.1352E-02 0.8114E-04  0.9945  1.0066  18. 0.080
 6130.00  47.600  7.8500 0.7244E-03 0.4347E-04  0.9965  1.0066  18. 0.080
 5500.00  20.153  2.7257 0.1190E+01 0.4336E-01  0.9956  1.0034  17. 0.038
 6000.00  19.050  2.9204 0.9405E+00 0.6922E-01  0.9961  1.0033  17. 0.038
 6000.00  21.670  3.5045 0.3582E+00 0.8980E-02  0.9961  1.0036  17. 0.038
 5500.00  26.280  3.8939 0.1325E+00 0.5343E-02  0.9956  1.0042  17. 0.038
 6000.00  26.268  4.4779 0.7109E-01 0.2918E-02  0.9966  1.0042  17. 0.038
 6000.00  29.277  5.0620 0.2924E-01 0.1639E-02  0.9970  1.0046  17. 0.038
 6000.00  33.754  5.8408 0.1020E-01 0.9006E-03  0.9975  1.0052  17. 0.038
  504.10 179.999  0.4900 0.2483E+01 0.6776E-01  0.9949  1.0115  16. 0.023
  592.10 179.999  0.6200 0.1411E+01 0.3613E-01  0.9904  1.0115  16. 0.023
  727.50 179.999  0.8300 0.6301E+00 0.1239E-01  0.9846  1.0115  16. 0.023
  839.10 179.999  1.0100 0.3538E+00 0.9895E-02  0.9805  1.0115  16. 0.023
  881.70 179.999  1.0800 0.2868E+00 0.6020E-02  0.9791  1.0115  16. 0.023
  936.00 179.999  1.1700 0.2124E+00 0.4949E-02  0.9774  1.0115  16. 0.023
  971.90 179.999  1.2300 0.1788E+00 0.6204E-02  0.9763  1.0115  16. 0.023
 1019.40 179.999  1.3100 0.1419E+00 0.3334E-02  0.9749  1.0115  16. 0.023
 1107.60 179.999  1.4600 0.9725E-01 0.1888E-02  0.9725  1.0115  16. 0.023
 1189.00 179.999  1.6000 0.6780E-01 0.1324E-02  0.9705  1.0115  16. 0.023
 1275.50 179.999  1.7500 0.4692E-01 0.9324E-03  0.9685  1.0115  16. 0.023
 5483.00  21.010  2.8620 0.8020E+00 0.1840E-01  0.9956  1.0035  15. 0.030
 5483.00  25.010  3.6210 0.1930E+00 0.5560E-02  0.9956  1.0041  15. 0.030
 7640.00  21.010  5.0270 0.6930E-01 0.1420E-02  0.9987  1.0035  15. 0.030
 6676.00  25.010  4.9910 0.4550E-01 0.1210E-02  0.9979  1.0041  15. 0.030
 5507.00  33.010  5.0170 0.2040E-01 0.5060E-03  0.9960  1.0051  15. 0.030
 9625.00  21.010  7.3000 0.1080E-01 0.2940E-03  1.0026  1.0035  15. 0.030
11470.00  21.010  9.6290 0.2510E-02 0.7820E-04  1.0066  1.0035  15. 0.030
13210.00  21.010 11.9900 0.8080E-03 0.2650E-04  1.0104  1.0035  15. 0.030
15840.00  21.010 15.7200 0.1790E-03 0.9690E-05  1.0160  1.0035  15. 0.030
18360.00  21.010 19.4700 0.4670E-04 0.3330E-05  1.0212  1.0035  15. 0.030
20790.00  21.010 23.2400 0.1820E-04 0.1540E-05  1.0253  1.0035  15. 0.030
21180.00  25.010 26.9900 0.4510E-05 0.5080E-06  1.0300  1.0041  15. 0.030
21190.00  33.010 31.2000 0.8600E-06 0.1510E-06  1.0341  1.0051  15. 0.030
 3996.00  15.440  0.9990 0.6530E+02 0.1189E+01  0.9969  1.0027  14. 0.040
